id,sensor_id,recorded_at,seat_id,status
16024,2c:cf:67:ff:f5:f4,2026-06-25 14:26:40+05:30,Ground_Floor_Workstation_Seat_4,0
16025,2c:cf:67:ff:f5:f4,2026-06-25 14:27:16+05:30,Ground_Floor_Workstation_Seat_1,0
16026,2c:cf:67:ff:f5:f4,2026-06-25 14:27:16+05:30,Ground_Floor_Workstation_Seat_2,0
16027,2c:cf:67:ff:f5:f4,2026-06-25 14:27:16+05:30,Ground_Floor_Workstation_Seat_3,1
16028,2c:cf:67:ff:f5:f4,2026-06-25 14:27:16+05:30,Ground_Floor_Workstation_Seat_4,0
16029,2c:cf:67:ff:f5:f4,2026-06-25 14:27:43+05:30,Ground_Floor_Workstation_Seat_1,1
16030,2c:cf:67:ff:f5:f4,2026-06-25 14:27:43+05:30,Ground_Floor_Workstation_Seat_2,0
16031,2c:cf:67:ff:f5:f4,2026-06-25 14:27:43+05:30,Ground_Floor_Workstation_Seat_3,1
16032,2c:cf:67:ff:f5:f4,2026-06-25 14:27:43+05:30,Ground_Floor_Workstation_Seat_4,0
16033,2c:cf:67:ff:f5:f4,2026-06-25 14:28:01+05:30,Ground_Floor_Workstation_Seat_1,0
16034,2c:cf:67:ff:f5:f4,2026-06-25 14:28:01+05:30,Ground_Floor_Workstation_Seat_2,0
16035,2c:cf:67:ff:f5:f4,2026-06-25 14:28:01+05:30,Ground_Floor_Workstation_Seat_3,1
16036,2c:cf:67:ff:f5:f4,2026-06-25 14:28:01+05:30,Ground_Floor_Workstation_Seat_4,0
16037,2c:cf:67:ff:f5:f4,2026-06-25 14:28:39+05:30,Ground_Floor_Workstation_Seat_1,0
16038,2c:cf:67:ff:f5:f4,2026-06-25 14:28:39+05:30,Ground_Floor_Workstation_Seat_2,0
16039,2c:cf:67:ff:f5:f4,2026-06-25 14:28:39+05:30,Ground_Floor_Workstation_Seat_3,1
16040,2c:cf:67:ff:f5:f4,2026-06-25 14:28:39+05:30,Ground_Floor_Workstation_Seat_4,0
16041,2c:cf:67:ff:f5:f4,2026-06-25 14:29:15+05:30,Ground_Floor_Workstation_Seat_1,1
16042,2c:cf:67:ff:f5:f4,2026-06-25 14:29:15+05:30,Ground_Floor_Workstation_Seat_2,0
16043,2c:cf:67:ff:f5:f4,2026-06-25 14:29:15+05:30,Ground_Floor_Workstation_Seat_3,1
16044,2c:cf:67:ff:f5:f4,2026-06-25 14:29:15+05:30,Ground_Floor_Workstation_Seat_4,0
16045,2c:cf:67:ff:f5:f4,2026-06-25 14:29:36+05:30,Ground_Floor_Workstation_Seat_1,1
16046,2c:cf:67:ff:f5:f4,2026-06-25 14:29:36+05:30,Ground_Floor_Workstation_Seat_2,0
16047,2c:cf:67:ff:f5:f4,2026-06-25 14:29:36+05:30,Ground_Floor_Workstation_Seat_3,0
16048,2c:cf:67:ff:f5:f4,2026-06-25 14:29:36+05:30,Ground_Floor_Workstation_Seat_4,0
16049,2c:cf:67:ff:f5:f4,2026-06-25 14:30:13+05:30,Ground_Floor_Workstation_Seat_1,1
16050,2c:cf:67:ff:f5:f4,2026-06-25 14:30:13+05:30,Ground_Floor_Workstation_Seat_2,0
16051,2c:cf:67:ff:f5:f4,2026-06-25 14:30:13+05:30,Ground_Floor_Workstation_Seat_3,1
16052,2c:cf:67:ff:f5:f4,2026-06-25 14:30:13+05:30,Ground_Floor_Workstation_Seat_4,0
12049,2c:cf:67:ff:f5:f4,2026-06-22 21:29:23+05:30,Ground_Floor_Workstation_Seat_1,0
12050,2c:cf:67:ff:f5:f4,2026-06-22 21:29:23+05:30,Ground_Floor_Workstation_Seat_2,0
12051,2c:cf:67:ff:f5:f4,2026-06-22 21:29:23+05:30,Ground_Floor_Workstation_Seat_3,0
12052,2c:cf:67:ff:f5:f4,2026-06-22 21:29:23+05:30,Ground_Floor_Workstation_Seat_4,0
12053,2c:cf:67:ff:f5:f4,2026-06-22 21:34:32+05:30,Ground_Floor_Workstation_Seat_1,0
12054,2c:cf:67:ff:f5:f4,2026-06-22 21:34:32+05:30,Ground_Floor_Workstation_Seat_2,0
12055,2c:cf:67:ff:f5:f4,2026-06-22 21:34:32+05:30,Ground_Floor_Workstation_Seat_3,0
12056,2c:cf:67:ff:f5:f4,2026-06-22 21:34:32+05:30,Ground_Floor_Workstation_Seat_4,0
16053,2c:cf:67:ff:f5:f4,2026-06-25 14:30:34+05:30,Ground_Floor_Workstation_Seat_1,1
16054,2c:cf:67:ff:f5:f4,2026-06-25 14:30:34+05:30,Ground_Floor_Workstation_Seat_2,0
16055,2c:cf:67:ff:f5:f4,2026-06-25 14:30:34+05:30,Ground_Floor_Workstation_Seat_3,1
16056,2c:cf:67:ff:f5:f4,2026-06-25 14:30:34+05:30,Ground_Floor_Workstation_Seat_4,0
16057,2c:cf:67:ff:f5:f4,2026-06-25 14:31:10+05:30,Ground_Floor_Workstation_Seat_1,1
16058,2c:cf:67:ff:f5:f4,2026-06-25 14:31:10+05:30,Ground_Floor_Workstation_Seat_2,0
16059,2c:cf:67:ff:f5:f4,2026-06-25 14:31:10+05:30,Ground_Floor_Workstation_Seat_3,1
16060,2c:cf:67:ff:f5:f4,2026-06-25 14:31:10+05:30,Ground_Floor_Workstation_Seat_4,0
16061,2c:cf:67:ff:f5:f4,2026-06-25 14:31:35+05:30,Ground_Floor_Workstation_Seat_1,0
16062,2c:cf:67:ff:f5:f4,2026-06-25 14:31:35+05:30,Ground_Floor_Workstation_Seat_2,0
16063,2c:cf:67:ff:f5:f4,2026-06-25 14:31:35+05:30,Ground_Floor_Workstation_Seat_3,1
16064,2c:cf:67:ff:f5:f4,2026-06-25 14:31:35+05:30,Ground_Floor_Workstation_Seat_4,0
16065,2c:cf:67:ff:f5:f4,2026-06-25 14:31:53+05:30,Ground_Floor_Workstation_Seat_1,0
16066,2c:cf:67:ff:f5:f4,2026-06-25 14:31:53+05:30,Ground_Floor_Workstation_Seat_2,0
16067,2c:cf:67:ff:f5:f4,2026-06-25 14:31:53+05:30,Ground_Floor_Workstation_Seat_3,1
16068,2c:cf:67:ff:f5:f4,2026-06-25 14:31:53+05:30,Ground_Floor_Workstation_Seat_4,0
16069,2c:cf:67:ff:f5:f4,2026-06-25 14:32:42+05:30,Ground_Floor_Workstation_Seat_1,1
16070,2c:cf:67:ff:f5:f4,2026-06-25 14:32:42+05:30,Ground_Floor_Workstation_Seat_2,0
